Sl No,Stock,Market Cap,Net Profit Ann  1Y Ago,Net Profit Ann  2Y ago,Net Profit Ann  3Y Ago,Net Profit Ann  4Y Ago,Net Profit Ann  5Y Ago,Total Rev  Ann  1Y Ago,Rev  Ann  2Y ago,Rev  Ann  3Y ago,Rev  Ann  4Y ago,Rev  Ann  5Y ago,ROCE Ann  1Y Ago %,OPM Ann  1Y ago %,Net Profit Ann ,Total Rev  Ann ,NSE Code,BSE Code,ISIN
90,MRF,55853.17,1869.28,2081.22,768.95,669.23,1277.06,28561.29,25486.05,23261.17,19633.71,16373.13,13.77,14.3,2426.1,31653.64,MRF,500290,INE883A01011
91,The Fertilisers and Chemicals,55541.43,41.23,146.17,612.99,353.28,351.98,4267.36,5258.04,6333.72,4542.45,3326.41,17.65,2.22,-39.6,5900.08,FACT,590024,INE188A01015
92,Max Financial ,55339.16,327.23,340.11,378.49,253.37,425.39,46497.24,46618.32,31431.06,31187.58,31288.01,6.54,1.02,83.97,47696.43,MFSL,500271,INE180A01020
93,Colgate-Palmolive,54848.62,1436.81,1323.66,1047.15,1078.32,1035.39,6179.01,5756.95,5279.77,5126.04,4871.57,111.06,31.69,1325.31,6124.16,COLPAL,500830,INE259A01022
94,Radico Khaitan,54781.38,345.61,262.17,220.35,263.23,277.16,4856,4127.39,3152.22,2875.44,2438.21,17.39,13.87,604.48,6062.27,RADICO,532497,INE944F01028
95,Thermax,54490.18,634.47,645.28,450.29,312.31,206.58,10640.91,9556.03,8249.99,6255.34,4898.99,15.64,8.53,720.5,10961.63,THERMAX,500411,INE152A01029
96,Vishal Mega Mart,53349.59,631.97,461.94,321.27,202.77,,10774.9,8945.13,7618.89,5653.85,,13.03,14.2,839.23,12992.61,VMM,544307,INE01EA01019
97,Tata Communications,52728.09,1836.36,968.34,1795.96,1481.76,1250.63,23238.89,21251.29,18201.41,17056.82,17256.86,14.96,19.66,1001.57,25104.45,TATACOMM,500483,INE151A01013
98,Knowledge Realty Trust,51439.03,339.66,219.24,,,,3588.48,3115.97,,,,10.31,71.93,222.52,4146.86,KRT,544481,INE1JAR25012
99,UPL,50654.38,897,-1200,3570,3626,2871,47123,43581,54053,46521,38952,8.97,16.13,1922,52502,UPL,512070,INE628A01036
100,APL Apollo Tubes,50600.47,757.06,732.44,641.86,557.29,360.16,20785.6,18193.67,16213.13,13103.82,8535.69,22.02,5.77,1203.08,23190.85,APLAPOLLO,533758,INE702C01027
1,Choice International,18211.98,162.71,130.86,60.38,53.58,16.71,921.67,759.34,395.18,285.96,175.82,20.16,30.88,217.66,1144.5,CHOICEIN,531358,INE102B01014
2,Elgi Equipments,18182.65,350.2,311.89,370.81,178.43,102.48,3568.1,3272.75,3107.91,2579.68,1947.55,25.85,14.71,430.2,4068.5,ELGIEQUIP,522074,INE285A01027
3,Castrol,18176.11,927.23,927.23,815.15,758.09,582.94,5453.46,5453.46,4841.54,4240.49,3058.95,53.57,23.44,949.93,5788.93,CASTROLIND,500870,INE172A01027
4,Aarti Industries,18147.22,330.87,416.46,545.23,1185.67,523.47,7285.44,6380.73,6619.44,6086.28,4506.8,7.58,13.73,419,8291,AARTIIND,524208,INE769A01020
5,Emami,18055.82,806.47,723.53,639.57,838.98,454.7,3877.3,3624.89,3474.66,3287.28,2950.8,33.22,26.44,775.27,3864.62,EMAMILTD,531162,INE548C01032
6,Atul,18027.21,483.93,323.02,514.09,604.26,655.76,5692.38,4783.87,5542.39,5156.89,3834.45,11.52,16.04,677.9,6476.44,ATUL,500027,INE100A01010
7,Century Plyboards,17910.48,185.32,326.39,383.3,313.06,191.47,4538.08,3929.84,3694.26,3050.1,2147.68,12.12,10.72,262.7,5407.42,CENTURYPLY,532548,INE348B01021
8,Inox,17816.88,226.03,196,152.71,130.5,96.11,1346.66,1162.49,984.2,803.71,608.99,33.26,21.14,257.89,1632.25,INOXINDIA,544046,INE616N01034
9,Tata Chemicals,17706.84,235,268,2317,1257.62,256.37,15112,15707,17007,12878.1,10434.22,3.33,12.92,-1896,14900,TATACHEM,500770,INE092A01019
10,CIE Automotive,17572.07,827.51,1125.15,-136.2,392.9,106.4,9103.71,9362.36,8811.3,8442.3,6105,15.28,14.84,828.17,9507.73,CIEINDIA,532756,INE536H01010
11,Punjab & Sind Bank,17561.57,1015.83,595.42,1313.03,1039.05,-2732.9,13048.95,10915.44,8932.69,8055.19,7876.72,6.21,15.9,1321.93,13759.3,PSB,533295,INE608A01012
12,Lakshmi Machine ,17552.17,102.61,373.66,384.02,181.05,44.6,3136.68,4839.38,4866.97,3239.29,1806.1,5.03,4.44,130.73,3353.36,LMW,500252,INE269B01029
13,Sarda Energy & Minerals,17550.35,699.82,523,602.11,804.16,374.89,4815.25,4052.3,4261.29,3964.34,2343.27,12.51,25.7,1105.86,5927.54,SARDAEN,504614,INE385C01021
14,Natco Pharma,17423.81,1885.4,1388.3,715.3,170,440.9,4784,4126.9,2811.7,2043.8,2155.7,30.11,45.9,1418.5,4375.9,NATCOPHARM,524816,INE987B01026
15,Allied Blenders,17330.84,194.86,1.83,1.6,1.49,2.51,3540.75,3334.11,3157.7,2696.9,2367.4,23.22,12.16,228.32,3948.77,ABDL,544203,INE552Z01027
16,Chennai Petroleum,17229.05,214.09,2745.07,3531.53,1352.03,257.26,59381.26,66396.2,76741.89,43393.12,22545.73,4.57,1.71,3102.7,63705.41,CHENNPETRO,500110,INE178A01016
17,Poly Medicure,17200.71,338.56,258.26,179.28,146.51,135.87,1758.96,1434.54,1151.42,960.97,804.88,16.27,25.74,322.14,1995.34,POLYMED,531768,INE205C01021
18,Bharat Coking Coal,17188.99,1240.19,1564.46,664.78,,,14401.63,14652.53,13018.57,,,17.58,12.2,128.28,14924.26,BHARATCOAL,544678,INE05XR01022
19,PG Electroplast,17188.22,287.8,134.9,77.47,37.42,11.61,4904.64,2759.51,2164.33,1115.96,705.83,14.42,9.87,196.57,5342.81,PGEL,533581,INE457L01029
20,Travel Food Services,17171.01,363.15,287.78,243.82,,,1762.71,1462.4,1103.58,,,38.65,31.43,441.03,1742.64,TRAVELFOOD,544443,INE103V01028
21,Godawari Power ,16986.33,811.67,935.34,793.4,1466.67,638.39,5471.71,5553.28,5857.1,5428.55,4075.96,21.73,21.82,800.76,5474.79,GPIL,532734,INE177H01039
22,Syngene Intl,16976.3,496.2,510,464.4,395.8,404.9,3714.2,3579.2,3263.8,2657,2248.9,12.61,28.05,316.7,3809.4,SYNGENE,539268,INE398R01022
23,National Securities,16840,343.12,275.44,234.81,,,1535.19,1365.7,1099.81,,,22.5,24.46,379.74,1660.16,,544467,INE301O01023
24,NAVA,16787.11,1091.48,943.73,927.67,517.7,423.24,4135.17,3955.03,3928,3645.42,2797.52,15.41,44.38,786.67,4478.66,NAVA,513023,INE725A01030
25,Alembic Pharma,16725.55,583.42,615.82,341.99,520.94,1178.11,6714.63,6256.93,5655.36,5356.25,5403.15,14.4,15.02,674.77,7399.31,APLLTD,533573,INE901L01018
26,Crompton Greaves,16716.03,555.95,439.92,463.21,578.38,616.65,7932.38,7380.2,6936.39,5466.76,4879.26,19.22,11.2,-242.17,8161.15,CROMPTON,539876,INE299U01018
27,Gallantt Ispat,16695.43,400.74,225.35,140.91,,81.4,4308.34,4233.97,4059.98,,1009.37,18.8,16.12,484.27,4478.52,GALLANTT,532726,INE297H01019
28,Vertis Infrastructure Trust,16685.32,-160.61,34.2,,,,2071.98,643.11,,,,7.29,27.42,468.11,2298.97,VERTIS,,INE0KXY23015
29,Astra Microwave,16665.7,153.51,121.07,69.83,37.87,28.85,1068.71,920.51,820.98,756.84,651.77,20.84,25.17,192.97,1181.29,ASTRAMICRO,532493,INE386C01029
30,Amara Raja Energy,16589.42,944.67,934.38,694.53,512.57,646.83,12961.91,11818.85,10480.24,8775.13,7237.14,15.35,12.47,895.77,13920.18,ARE&M,500008,INE885A01032
31,Cohance Lifesciences,16563.24,267.87,300.28,411.29,453.8,362.34,1256.14,1113.26,1386.69,1412.6,1023.96,13.36,29.87,179.23,2302.64,COHANCE,543064,INE03QK01018
32,Jubilant Pharmova,16515.06,839.4,77.1,-60.98,413.94,835.87,7291.3,6771.6,6320.06,6141.45,6116.17,8.13,16.1,398.5,8345.6,JUBLPHARMA,530019,INE700A01033
33,Zen Technologies,16468.97,280.24,127.88,42.74,1.99,3.11,1032.03,454.77,226.09,75.13,57.66,23.07,36.19,193.45,773.11,ZENTEC,533339,INE251B01027
34,Jindal Saw,16393.79,1738.37,1677.03,632.4,375.89,318.83,20947.84,21125.9,18046.37,13450.97,10872.03,21.35,16.37,973.35,17986.85,JINDALSAW,500378,INE324A01032
35,Niva Bupa Health Insurance,16386.06,213.52,81.85,12.54,-196.52,-49.74,5529.7,4336.26,3227.32,2158.7,1413.08,8.37,2.65,130.78,6696.72,NIVABUPA,544286,INE995S01015
36,Garware Hi-Tech ,16371.87,331.22,203.29,166.14,167.18,125.95,2163.76,1716.08,1480.17,1342.06,1004.67,18.65,20.39,338.23,2184.95,GRWRHITECH,500655,INE291A01017
37,CCL Products,16359.84,310.34,250.08,268.88,204.35,182.26,3114.2,2660.02,2074.47,1466.12,1245.87,17.85,17.82,388.11,4465.8,CCL,519600,INE421D01022
38,Kansai Nerolac,16320.67,1142.95,1185.44,473.58,358.86,529.74,7962.12,7893.32,7568.71,6394.76,5112.46,13,11.84,589.47,8197.85,KANSAINER,500165,INE531A01024
39,Leela Palaces Hotels Resorts,16232.02,47.83,-2.13,-61.68,,,1406.56,1226.5,903.27,,,7.24,42.26,403.13,1597.78,THELEELA,544408,INE0AQ201015
40,Minda Corporation,16209.58,255.4,227.2,284.5,191.9,52.8,5088.6,4666.8,4315.9,3000.1,2401.1,13.79,11.29,360.26,6200.57,MINDACORP,538962,INE842C01021
41,Aequs,16205.96,-102.35,-10.84,-98.83,-106.2,,959.21,988.3,840.54,535,,0.39,7.65,-113.25,1295.82,AEQUS,544634,INE947N01017
42,JBM Auto,16198.68,201.91,178.83,124.38,156.19,49.3,5525.91,5029.67,3884.39,3214.04,1994.01,20.16,12.25,218.78,6227.3,JBMA,532605,INE927D01051
43,eClerx Services,16090.19,541.09,511.46,488.82,417.4,282.56,3452.39,2991.18,2713.85,2184.96,1598.94,27.85,23.41,706.21,4218.21,ECLERX,532927,INE738I01010
44,KSB,16081.22,247.48,208.73,182.74,149.39,93.78,2569.84,2279.58,1864.14,1530.98,1237.14,20.68,13.13,270.5,2754.9,KSB,500249,INE999A01023
45,DCM Shriram,16062.06,604.27,447.1,910.84,1067.35,673.37,12219.49,11021.02,11666.66,9719.33,8400.23,11.19,10.89,853.44,13734.48,DCMSHRIRAM,523367,INE499A01024
46,Welspun Living,16023.6,639.16,681.1,198.83,601.16,539.67,10697.24,9825.07,8215.1,9377.31,7407.95,15.27,12.14,204.44,9467.91,WELSPUNLIV,514162,INE192B01031
47,BASF,16016.54,479.06,563.27,,,,15339.45,13843.26,,,,16.49,4.78,420.1,15009.8,BASF,500042,INE373A01013
48,Five-Star Business Finance,15996.24,1072.49,835.92,603.5,453.54,358.99,2866.02,2195.1,1528.93,1256.17,1051.25,32.95,73.65,1098.75,3245.97,FIVESTAR,543663,INE128S01021
49,Bikaji Foods ,15991.97,200.85,265.7,128.54,77.95,90.21,2654.76,2356.66,1980.78,1621.45,1322.21,16.94,12.36,258.26,3045.27,BIKAJI,543653,INE00E101023
50,Sobha,15989.11,94.69,49.11,104.2,116.88,62.28,4162.76,3217.88,3402.43,2821.58,2190.4,5.96,7.07,193.41,5383.76,SOBHA,532784,INE671H01015
